"IntendedUseCode","IntendedUse","IntendedUseFSA578"
"CO","Cover Only","Cover"
"DE","Dry Edible","Dry Ed"
"ED","Edible","Edible"
"FG","Foraging","Forage"
"FH","Fresh ","Fresh"
"GM","Green Manure","Gr Mnre"
"GP","Green Peanuts ","Green"
"GR","Grain ","Grain"
"GS","Grain/Grazing ","Grazing"
"GZ","Grazing ","Graze"
"HP","Hogged Peanuts ","Hogged"
"JU","Juice ","Juice"
"LS","Left Standing ","Lft Std"
"LT","Leaf Tips ","Leaftip"
"LV","Leaves ","Leaves"
"ML","Molasses ","Molass"
"NP","Nut Peanuts ","Nut"
"NT","Nontable ","Nontable"
"OL","Oil ","Oil"
"PR","Processed","Proces"
"RS","Root Stock","Rtstck"
"RT","Root ","Root"
"SD","Seed ","Seed"
"SE","Sets ","Sets"
"SG","Silage ","Silage"
"SO","Sod ","Sod"
"TB","Table","Table"
